,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Team
16,2023-08-06,12:00,World Cup,Round of 16,Sun,Neutral,W,2,0,za South Africa,1.6,1.2,70.0,40233.0,Sherida Spitse,3-1-4-2,4-2-3-1,Yoshimi Yamashita,Match Report,,14.0,6.0,42.9,0.14,0.33,16.9,1.0,0,0,2023,Netherlands Women
17,2023-08-11,13:00,World Cup,Quarter-finals,Fri,Neutral,L,1,2,es Spain,0.8,3.4,39.0,32021.0,Sherida Spitse,3-1-4-2,4-3-3,Stéphanie Frappart,Match Report,Required Extra Time,10.0,4.0,40.0,0.1,0.25,18.2,0.0,0,0,2023,Netherlands Women
2,2023-07-25,12:00,World Cup,Group stage,Tue,Neutral,W,2,0,kr Korea Republic,1.6,0.5,57.0,24323.0,Daniela Montoya,4-2-3-1,5-3-2,Rebecca Welch,Match Report,,16.0,4.0,25.0,0.06,0.25,21.4,1.0,1,1,2023,Colombia Women
3,2023-07-30,19:30,World Cup,Group stage,Sun,Neutral,W,2,1,de Germany,0.4,1.7,33.0,40499.0,Daniela Montoya,4-2-3-1,4-2-3-1,Melissa Borjas Pastrana,Match Report,,9.0,4.0,44.4,0.22,0.5,20.8,0.0,0,0,2023,Colombia Women
4,2023-08-03,18:00,World Cup,Group stage,Thu,Neutral,L,0,1,ma Morocco,0.6,1.2,60.0,17342.0,Daniela Montoya,4-2-3-1,4-4-2,Maria Sole Ferrieri Caputi,Match Report,,11.0,3.0,27.3,0.0,0.0,17.3,1.0,0,0,2023,Colombia Women
5,2023-08-08,18:00,World Cup,Round of 16,Tue,Neutral,W,1,0,jm Jamaica,0.9,1.2,51.0,27706.0,Catalina Usme,4-2-3-1,4-1-4-1,Kate Jacewicz,Match Report,,11.0,3.0,27.3,0.09,0.33,18.0,0.0,0,0,2023,Colombia Women
6,2023-08-12,20:30,World Cup,Quarter-finals,Sat,Neutral,L,1,2,eng England,0.5,1.5,40.0,75784.0,Catalina Usme,4-2-3-1,3-4-1-2,Katja Koroleva,Match Report,,15.0,3.0,20.0,0.07,0.33,22.6,0.0,0,0,2023,Colombia Women
8,2023-07-22,13:00,World Cup,Group stage,Sat,Neutral,W,3,0,vn Vietnam,4.7,0.0,65.0,41107.0,Lindsey Horan,4-3-3,5-4-1,Bouchra Karboubi,Match Report,,27.0,6.0,22.2,0.11,0.5,13.6,1.0,0,1,2023,United States Women
9,2023-07-27,13:00,World Cup,Group stage,Thu,Neutral,D,1,1,nl Netherlands,0.9,0.3,45.0,27312.0,Lindsey Horan,4-3-3,3-1-4-2,Yoshimi Yamashita,Match Report,,18.0,3.0,16.7,0.06,0.33,17.2,0.0,0,0,2023,United States Women
10,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,D,0,0,pt Portugal,2.1,0.4,44.0,40958.0,Lindsey Horan,4-3-3,4-1-2-1-2,Rebecca Welch,Match Report,,17.0,5.0,29.4,0.0,0.0,10.9,0.0,0,0,2023,United States Women
11,2023-08-06,19:00,World Cup,Round of 16,Sun,Neutral,D,0 (4),0 (5),se Sweden,1.4,0.7,58.0,27706.0,Lindsey Horan,4-2-3-1,4-2-3-1,Stéphanie Frappart,Match Report,Sweden won on penalty kicks following extra time,22.0,11.0,50.0,0.0,0.0,16.4,0.0,0,0,2023,United States Women
1,2023-07-21,12:30,World Cup,Group stage,Fri,Neutral,D,0,0,ca Canada,0.5,1.4,34.0,21410.0,Chiamaka Nnadozie,4-2-3-1,4-2-3-1,Lina Lehtovaara,Match Report,,11.0,1.0,9.1,0.0,0.0,19.0,0.0,0,0,2023,Nigeria Women
2,2023-07-27,20:00,World Cup,Group stage,Thu,Neutral,W,3,2,au Australia,1.4,2.2,37.0,49156.0,Chiamaka Nnadozie,4-2-3-1,4-4-2,Esther Staubli,Match Report,,11.0,6.0,54.5,0.27,0.5,18.4,0.0,0,0,2023,Nigeria Women
3,2023-07-31,20:00,World Cup,Group stage,Mon,Neutral,D,0,0,ie Rep. of Ireland,1.1,0.5,41.0,24884.0,Chiamaka Nnadozie,4-2-3-1,5-4-1,Katia García,Match Report,,11.0,2.0,18.2,0.0,0.0,17.8,0.0,0,0,2023,Nigeria Women
4,2023-08-07,17:30,World Cup,Round of 16,Mon,Neutral,D,0 (2),0 (4),eng England,1.2,0.9,44.0,49461.0,Chiamaka Nnadozie,4-2-3-1,3-4-1-2,Melissa Borjas Pastrana,Match Report,England won on penalty kicks following extra time,20.0,2.0,10.0,0.0,0.0,14.0,0.0,0,0,2023,Nigeria Women
11,2023-07-22,20:00,World Cup,Group stage,Sat,Neutral,W,1.0,0.0,cn China PR,1.1,0.4,55.0,16989.0,Pernille Harder,4-3-3,4-4-2,Marie-Soleil Beaudoin,Match Report,,13.0,2.0,15.4,0.08,0.5,17.6,0.0,0,0,2023,Denmark Women
12,2023-07-28,18:30,World Cup,Group stage,Fri,Neutral,L,0.0,1.0,eng England,0.5,1.1,30.0,40439.0,Pernille Harder,4-2-3-1,4-3-3,Tess Olofsson,Match Report,,6.0,2.0,33.3,0.0,0.0,13.1,0.0,0,0,2023,Denmark Women
13,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,W,2.0,0.0,ht Haiti,1.9,0.5,61.0,17897.0,Pernille Harder,4-2-3-1,4-2-3-1,Oh Hyeonjeong,Match Report,,8.0,5.0,62.5,0.13,0.2,18.2,0.0,1,1,2023,Denmark Women
14,2023-08-07,20:30,World Cup,Round of 16,Mon,Neutral,L,0.0,2.0,au Australia,0.7,1.1,56.0,75784.0,Pernille Harder,4-2-3-1,4-4-2,Rebecca Welch,Match Report,,13.0,3.0,23.1,0.0,0.0,19.9,0.0,0,0,2023,Denmark Women
2,2023-07-24,18:30,World Cup,Group stage,Mon,Neutral,L,0,6,de Germany,0.2,2.4,26.0,27256.0,Ghizlane Chebbak,4-4-2,4-2-3-1,Tori Penso,Match Report,,6.0,4.0,66.7,0.0,0.0,26.6,1.0,0,0,2023,Morocco Women
3,2023-07-30,14:00,World Cup,Group stage,Sun,Neutral,W,1,0,kr Korea Republic,1.4,1.2,38.0,12886.0,Ghizlane Chebbak,4-4-1-1,3-5-2,Edina Alves Batista,Match Report,,10.0,2.0,20.0,0.1,0.5,15.8,0.0,0,0,2023,Morocco Women
4,2023-08-03,18:00,World Cup,Group stage,Thu,Neutral,W,1,0,co Colombia,1.2,0.6,40.0,17342.0,Ghizlane Chebbak,4-4-2,4-2-3-1,Maria Sole Ferrieri Caputi,Match Report,,7.0,5.0,71.4,0.14,0.2,18.7,0.0,0,1,2023,Morocco Women
5,2023-08-08,20:30,World Cup,Round of 16,Tue,Neutral,L,0,4,fr France,0.0,2.2,27.0,13557.0,Ghizlane Chebbak,4-4-2,4-4-1-1,Tori Penso,Match Report,,1.0,0.0,0.0,0.0,,27.1,0.0,0,0,2023,Morocco Women
0,2023-07-23,20:00,World Cup,Group stage,Sun,Neutral,D,0,0,fr France,0.2,2.0,29.0,39045.0,Khadija Shaw,4-4-1-1,4-4-2,María Carvajal,Match Report,,6.0,2.0,33.3,0.0,0.0,24.4,1.0,0,0,2023,Jamaica Women
1,2023-07-29,20:30,World Cup,Group stage,Sat,Neutral,W,1,0,pa Panama,1.0,0.5,49.0,15987.0,Allyson Swaby,4-1-4-1,4-2-3-1,Kateryna Monzul,Match Report,,20.0,4.0,20.0,0.05,0.25,19.3,1.0,0,0,2023,Jamaica Women
2,2023-08-02,20:00,World Cup,Group stage,Wed,Neutral,D,0,0,br Brazil,0.2,1.6,28.0,27638.0,Khadija Shaw,4-1-4-1,4-4-2,Esther Staubli,Match Report,,3.0,0.0,0.0,0.0,,22.4,0.0,0,0,2023,Jamaica Women
3,2023-08-08,18:00,World Cup,Round of 16,Tue,Neutral,L,0,1,co Colombia,1.2,0.9,49.0,27706.0,Khadija Shaw,4-1-4-1,4-2-3-1,Kate Jacewicz,Match Report,,6.0,2.0,33.3,0.0,0.0,14.4,0.0,0,0,2023,Jamaica Women
16,2023-07-21,17:00,World Cup,Group stage,Fri,Neutral,W,2,0,ph Philippines,3.1,0.1,73.0,13711.0,Lia Wälti,4-3-2-1,3-5-2,Vincentia Amedome,Match Report,,16.0,7.0,43.8,0.06,0.14,15.8,0.0,1,1,2023,Switzerland Women
17,2023-07-25,20:00,World Cup,Group stage,Tue,Neutral,D,0,0,no Norway,1.0,1.5,49.0,10769.0,Lia Wälti,4-3-2-1,4-3-3,Stéphanie Frappart,Match Report,,8.0,1.0,12.5,0.0,0.0,17.5,0.0,0,0,2023,Switzerland Women
18,2023-07-30,19:00,World Cup,Group stage,Sun,Neutral,D,0,0,nz New Zealand,0.1,0.6,51.0,25947.0,Lia Wälti,4-3-2-1,4-4-2,Tori Penso,Match Report,,3.0,2.0,66.7,0.0,0.0,22.8,0.0,0,0,2023,Switzerland Women
19,2023-08-05,17:00,World Cup,Round of 16,Sat,Neutral,L,1,5,es Spain,0.3,3.5,31.0,43217.0,Lia Wälti,4-3-3,4-3-3,Cheryl Foster,Match Report,,2.0,1.0,50.0,0.0,0.0,21.1,0.0,0,0,2023,Switzerland Women
12,2023-07-20,19:00,World Cup,Group stage,Thu,Neutral,L,0,1,nz New Zealand,1.2,1.7,50.0,42137.0,Maren Mjelde,4-3-3,4-4-2,Yoshimi Yamashita,Match Report,,13.0,2.0,15.4,0.0,0.0,16.9,0.0,0,0,2023,Norway Women
13,2023-07-25,20:00,World Cup,Group stage,Tue,Neutral,D,0,0,ch Switzerland,1.5,1.0,51.0,10769.0,Maren Mjelde,4-3-3,4-3-2-1,Stéphanie Frappart,Match Report,,15.0,5.0,33.3,0.0,0.0,13.2,2.0,0,0,2023,Norway Women
14,2023-07-30,19:00,World Cup,Group stage,Sun,Neutral,W,6,0,ph Philippines,3.9,0.1,71.0,34697.0,Maren Mjelde,4-3-3,4-4-2,Marie-Soleil Beaudoin,Match Report,,30.0,11.0,36.7,0.13,0.36,16.2,0.0,1,1,2023,Norway Women
15,2023-08-05,20:00,World Cup,Round of 16,Sat,Neutral,L,1,3,jp Japan,0.8,1.0,40.0,33042.0,Maren Mjelde,4-3-3,3-4-3,Edina Alves Batista,Match Report,,8.0,3.0,37.5,0.13,0.33,13.7,0.0,0,0,2023,Norway Women
0,2023-07-23,17:00,World Cup,Group stage,Sun,Neutral,L,1,2,se Sweden,1.2,2.3,32.0,18317.0,Refiloe Jane,4-4-2,3-4-3,Katja Koroleva,Match Report,,10.0,4.0,40.0,0.1,0.25,20.1,0.0,0,0,2023,South Africa Women
1,2023-07-28,12:00,World Cup,Group stage,Fri,Neutral,D,2,2,ar Argentina,2.1,0.7,39.0,8834.0,Refiloe Jane,4-4-2,4-2-3-1,Anna-Marie Keighley,Match Report,,13.0,4.0,30.8,0.15,0.5,19.4,1.0,0,0,2023,South Africa Women
2,2023-08-02,19:00,World Cup,Group stage,Wed,Neutral,W,3,2,it Italy,1.4,3.2,39.0,14967.0,Thembi Kgatlana,4-2-3-1,4-2-3-1,María Carvajal,Match Report,,12.0,5.0,41.7,0.17,0.4,18.2,0.0,0,0,2023,South Africa Women
3,2023-08-06,12:00,World Cup,Round of 16,Sun,Neutral,L,0,2,nl Netherlands,1.2,1.6,30.0,40233.0,Thembi Kgatlana,4-2-3-1,3-1-4-2,Yoshimi Yamashita,Match Report,,13.0,7.0,53.8,0.0,0.0,21.1,0.0,0,0,2023,South Africa Women
15,2023-07-24,18:30,World Cup,Group stage,Mon,Neutral,W,6,0,ma Morocco,2.4,0.2,74.0,27256.0,Alexandra Popp,4-2-3-1,4-4-2,Tori Penso,Match Report,,16.0,6.0,37.5,0.25,0.67,12.8,0.0,0,0,2023,Germany Women
16,2023-07-30,19:30,World Cup,Group stage,Sun,Neutral,L,1,2,co Colombia,1.7,0.4,67.0,40499.0,Alexandra Popp,4-2-3-1,4-2-3-1,Melissa Borjas Pastrana,Match Report,,13.0,1.0,7.7,0.0,0.0,20.8,2.0,1,1,2023,Germany Women
17,2023-08-03,20:00,World Cup,Group stage,Thu,Neutral,D,1,1,kr Korea Republic,1.8,1.0,70.0,38945.0,Alexandra Popp,4-2-3-1,4-1-4-1,Anna-Marie Keighley,Match Report,,14.0,4.0,28.6,0.07,0.25,15.5,0.0,0,0,2023,Germany Women
5,2023-07-24,20:30,World Cup,Group stage,Mon,Neutral,W,4,0,pa Panama,4.3,0.2,72.0,13142.0,Rafaelle,4-4-2,5-4-1,Cheryl Foster,Match Report,,32.0,10.0,31.3,0.13,0.4,17.7,2.0,0,0,2023,Brazil Women
6,2023-07-29,20:00,World Cup,Group stage,Sat,Neutral,L,1,2,fr France,1.6,1.2,46.0,49378.0,Rafaelle,4-4-2,4-4-2,Kate Jacewicz,Match Report,,11.0,2.0,18.2,0.09,0.5,21.0,1.0,0,0,2023,Brazil Women
7,2023-08-02,20:00,World Cup,Group stage,Wed,Neutral,D,0,0,jm Jamaica,1.6,0.2,72.0,27638.0,Marta,4-4-2,4-1-4-1,Esther Staubli,Match Report,,18.0,8.0,44.4,0.0,0.0,14.9,1.0,0,0,2023,Brazil Women
16,2023-07-23,19:30,World Cup,Group stage,Sun,Neutral,L,0,1,nl Netherlands,0.1,1.7,45.0,11991.0,Dolores Silva,4-3-1-2,3-1-4-2,Kateryna Monzul,Match Report,,2.0,1.0,50.0,0.0,0.0,20.1,0.0,0,0,2023,Portugal Women
17,2023-07-27,19:30,World Cup,Group stage,Thu,Neutral,W,2,0,vn Vietnam,4.8,0.2,69.0,6645.0,Ana Borges,3-4-1-2,5-4-1,Salima Mukansanga,Match Report,,29.0,9.0,31.0,0.07,0.22,14.8,0.0,0,0,2023,Portugal Women
18,2023-08-01,19:00,World Cup,Group stage,Tue,Neutral,D,0,0,us USA,0.4,2.1,56.0,40958.0,Dolores Silva,4-1-2-1-2◆,4-3-3,Rebecca Welch,Match Report,,6.0,0.0,0.0,0.0,,23.1,0.0,0,0,2023,Portugal Women
8,2023-07-20,19:00,World Cup,Group stage,Thu,Neutral,W,1,0,no Norway,1.7,1.2,50.0,42137.0,Ali Riley,4-4-2,4-3-3,Yoshimi Yamashita,Match Report,,11.0,2.0,18.2,0.09,0.5,18.3,0.0,0,1,2023,New Zealand Women
9,2023-07-25,17:30,World Cup,Group stage,Tue,Neutral,L,0,1,ph Philippines,1.9,0.4,68.0,32357.0,Ria Percival,4-4-2,3-5-2,Katia García,Match Report,,16.0,4.0,25.0,0.0,0.0,17.6,0.0,0,0,2023,New Zealand Women
10,2023-07-30,19:00,World Cup,Group stage,Sun,Neutral,D,0,0,ch Switzerland,0.6,0.1,49.0,25947.0,Ali Riley,4-4-2,4-3-2-1,Tori Penso,Match Report,,12.0,3.0,25.0,0.0,0.0,16.6,1.0,0,0,2023,New Zealand Women
4,2023-07-21,12:30,World Cup,Group stage,Fri,Neutral,D,0,0,ng Nigeria,1.4,0.5,66.0,21410.0,Christine Sinclair,4-2-3-1,4-2-3-1,Lina Lehtovaara,Match Report,,15.0,2.0,13.3,0.0,0.0,19.0,1.0,0,1,2023,Canada Women
5,2023-07-26,20:00,World Cup,Group stage,Wed,Neutral,W,2,1,ie Rep. of Ireland,2.3,1.5,60.0,17065.0,Jessie Fleming,4-2-3-1,3-4-3,Laura Fortunato,Match Report,,17.0,7.0,41.2,0.06,0.14,16.5,0.0,0,0,2023,Canada Women
